Company,Investory Type,Portfolio,Category
10xBeta,Investor,"The current companies in the active portfolio of 10XBeta are:

- **Gynocular**: A device for early and accurate detection of cervical cancer[1].
- **K-02**: A Multi-Patient Oxygen Generator and Delivery System[1].
- **Myovue**: Provides reliable, real-time continuous monitoring[1].
- **Inspiren**: A smart patient care assistant with a hybrid AI sensing device[1].
- **Validose**: A healthcare technology company revolutionizing medication adherence and precision dosing[4].","10XBeta Venture Studio invests in HealthTech and MedTech companies, specifically focusing on medical device startups and innovative healthcare solutions[1][5]. 

### Categories of Companies:
- **HealthTech**
- **MedTech**
- **Medical Device Startups**
- **Innovative Healthcare Solutions**"
2048 Ventures,Investor,"As of the latest information available, 2048 Ventures has invested in over 200 startups, but the specific companies currently in their active portfolio are not listed in the provided sources. However, two companies mentioned in the sources are:

1. **GlossGenius** - A comprehensive platform for the Beauty Industry[1].
2. **Aerodome** - Air support and Drone-as First-Responder[1].

For a comprehensive and up-to-date list, it is recommended to visit the 2048 Ventures website or recent news updates.","2048 Ventures invests in the following categories of companies:

- **Vertical AI**
- **Deep Tech**
- **Health**
- **Bio**[2][4][5]"
8090 Industries,Investor,"The current companies in the portfolio of 8090 Industries, as per the available information, include:

- **Karman Industries**
- **Cemvita Factory**
- **Atomic Alchemy** (as of February 28, 2025)[2][3]

Note: The list may not be exhaustive, as the sources do not provide a comprehensive list of all companies in their portfolio. However, these are the specific companies mentioned in the available search results.","8090 Industries invests in companies across various categories, including:

- **Nuclear Power**: Micro-scale reactors
- **Biological Refineries**: Decarbonizing heavy industry
- **Clean Hydrogen**: Cheapest form of clean hydrogen on Earth
- **Fashion Textile Recycling**: World leader in fashion textile recycling
- **Battery Technology**: Highest performing, lowest cost battery anodes on Earth
- **Wastewater Treatment**: Decarbonizing and accelerating wastewater treatment
- **Renewable Energy**: Modular full-stack 24/7 baseload renewable power and heat for $0.03 kWh
- **E-Fuels Production**: World leader in e-fuels production
- **Industrial Cooling**: Industrial cooling without refrigerants
- **Geothermal Energy**: Terawatt-scale geothermal energy

Additionally, they have invested in companies like Karman Industries and Atomic Alchemy[2][3][5]."
Alley Corp,Investor,"The current companies in the portfolio of Alley Corp include:

1. **MongoDB**
2. **Gilt Groupe**
3. **Uala**
4. **Altana**
5. **Zola**
6. **Blueground**
7. **Radical AI**
8. **Nomad Health**[1]","Alley Corp invests in the following categories of companies:

- **Enterprise & Consumer Tech**: MongoDB, Gilt Groupe, Uala, Altana, Blueground, Radical AI, Nomad Health.
- **Healthcare**: Uala, Altana, Blueground, Radical AI, Nomad Health, Pearl Health, Transcend Therapeutics.
- **Deep Tech & Robotics**: Not explicitly listed, but mentioned as part of their focus areas.
- **Economic Infrastructure**: Workforce, health equity, and fintech, with specific companies like Uala and World Class Health.

Note: The categories are based on the information provided in the sources, particularly from Alley Corp's focus areas and portfolio companies[1][5]."
Alumni Ventures,Investor,"The current companies in the active portfolio of Alumni Ventures include:

- 0G
- 1Up
- 2045 Studio
- 222
- 3X Genetics
- 44.01
- 5x
- 6d.ai
- 8base
- Aalo Atomics
- Aatmunn
- Aazzur
- Abatable
- Abingdon Software Group
- AC Momento
- Accolade
- Activ Surgical
- Active Protective
- Activeloop
- AdaptX
- AdeptID
- Adora
- Adventr
- Aescape
- After Thought
- AfterHour
- Agile Stacks
- Agolo
- AI.Reverie
- Aiden
- Air Company
- Airbase
- AirMyne
- AiVengers
- AIVideo
- AKA Identity
- Akiba Digital
- Aklivity
- Akorda
- Akselos
- Akto
- Akua
- Alba
- Aleph
- Aleph Farms
- Algolux
- Algorand
- Alison AI
- Alix
- Allevi
- AllHere
- Alli Connect
- Allset
- Allstar
- Alpaca
- Altera
- Alto Experience
- AltoIRA
- Altro
- Alvee
- Alviere
- Alyce
- American Gene Technologies
- Americana
- AminoChain
- Ampool
- Analog
- Andromeda Surgical
- Anduin Transactions
- ANRA
- Ansel
- Anthology

These companies are part of Alumni Ventures' active portfolio, as listed on their website[1][2][4].","Alumni Ventures invests in a diverse range of companies across various sectors, including:

- **AI and Machine Learning**: AI.Reverie, Alison AI, Groq, Rigetti, Lambda
- **Healthcare and Biotech**: American Gene Technologies, Allevi
- **Energy and Environment**: 0G, Algolux
- **Space and Defense**: Bluesky, Andromeda Surgical
- **Quantum Computing**: Rigetti, Lambda
- **Fintech and Blockchain**: Algorand, 44.01
- **Software and Technology**: 1Up, 3X Genetics, 6d.ai, 8base, Aalo Atomics, Aatmunn, Aazzur, Abatable, Abingdon Software Group, AC Momento, Accolade, Activ Surgical, Active Protective, Activeloop, AdaptX, AdeptID, Adora, Adventr, Aescape, After Thought, AfterHour, Agile Stacks, Agolo, Aiden, Air Company, Airbase, AirMyne, AiVengers, AIVideo, AKA Identity, Akiba Digital, Aklivity, Akorda, Akselos, Akto, Akua, Alba, Aleph, Aleph Farms, Alto Experience, AltoIRA, Altro, Alvee, Alviere, Alyce
- **Food and Agriculture**: Aleph Farms
- **Logistics and Supply Chain**: Oura
- **Hardware and Electronics**: Goodles

These categories are not exhaustive, as Alumni Ventures has a diversified portfolio of over 1,400 companies across various sectors[1][2][4]."
Alwyn Capital,Investor,"Alwyn Capital's current portfolio includes the following companies:

1. **uFraction8** - NextGen BioSeparation
2. **Emulate** - Human Organ-on-Chips for Drug Discovery & Development
3. **UPSIDE Foods** - Meat without the Animal
4. **Abbot's** - Clean Label & Plant Based
5. **Sunflower TX** - Continuous BioManufacturing
6. **Algama** - Microalgae Innovation
7. **Avant Meats** - State-of-the-art Cultivation Processes
8. **Blue Nalu** - Cultured Blue Fin Tuna
9. **Demolish** - Breakthrough Texture Technology
10. **Uncaged Innovations** - New Generation Materials
11. **Rheom** - BioMaterial Innovation

These companies are listed in the most recent portfolio updates available[1][2][5].","Alwyn Capital invests in the following categories of companies:

- **Biotechnology**: Focused on eliminating the need for animals in food, fashion, and pharmaceuticals.
- **Food Technology**: Companies like New School Foods, Upside Foods, and Blue Nalu.
- **Pharmaceuticals**: Companies like Emulate, which uses human organ-on-chips for drug discovery and development.
- **Materials Innovation**: Companies like Uncaged Innovations and Rheom.
- **Microalgae Innovation**: Companies like Algama.
- **Cultivation Processes**: Companies like Avant Meats.
- **BioSeparation**: Companies like uFraction8.
- **Texture Technology**: Companies like Demolish.
- **Plant-Based and Clean Label**: Companies like Abbot's.
- **BioMaterial Innovation**: Companies like Rheom.
- **NextGen BioSeparation**: Companies like uFraction8.
- **State-of-the-art Cultivation Processes**: Companies like Avant Meats.
- **Human Organ-on-Chips for Drug Discovery & Development**: Companies like Emulate.
- **New Generation Materials**: Companies like Uncaged Innovations.
- **Microalgae Innovation**: Companies like Algama.
- **Whole-cut Manufacturing Innovation**: Companies like New School Foods.
- **Continuous BioManufacturing**: Companies like Sunflower TX.
- **Meat without the Animal**: Companies like Upside Foods.
- **Cultured Blue Fin Tuna**: Companies like Blue Nalu.

These categories are primarily focused on biotechnology and related fields aimed at reducing global dependence on animals[1][2][5]."
Apertu Capital,Investor,"As of the latest information available, Apertu Capital has made 5 investments, with their latest investment being in Graze Social as part of their Pre-Seed on April 15, 2025[2]. The specific companies currently in their active portfolio are not detailed in the provided sources. However, the following is the list of companies they have invested in:

- Graze Social (Pre-Seed)[2]

For a comprehensive and up-to-date list of companies in their active portfolio, further research or direct contact with Apertu Capital would be necessary.",Apertu Capital invests in **deep tech software startups** from pre-seed to seed stages of fundraising[1][4].
B Capital,Investor,"B Capital's current portfolio includes 180 companies, but a specific list of all active companies is not provided in the sources. However, some notable companies in their portfolio include:

- **Icertis**: Secured $50M investment from B Capital in March 2025[2].
- **Accacia**: An AI-enabled platform transforming carbon management, part of B Capital's portfolio[3].
- **LevelTen Energy**: Received a Series D investment of $65M from B Capital on July 16, 2024[4].
- **GrayMatter Robotics**: Received a Series B investment of $45M from B Capital on June 20, 2024[4].

For a comprehensive list of all 180 companies, you would need to refer to a detailed portfolio database or the investor's official website.","B Capital invests in the following categories of companies:

- **Technology**
- **Healthcare**
- **Climate**

These categories are integral to their investment strategy, as they focus on sectors that are crucial for technological and healthcare advancements, as well as climate solutions[3]."
BDMI,Investor,"BDMI (Bertelsmann Digital Media Investments) has invested in over 100 startups since 2007, focusing on categories like next-gen media, Web3, enterprise SaaS, and fintech. However, the specific companies currently in their active portfolio are not detailed in the provided sources. For the most accurate and up-to-date information, you would need to visit their official website or recent investment reports.

Here are some notable companies that BDMI has invested in, but it is unclear if they are currently active in their portfolio:

- **Next-gen media**
- **Web3**
- **Enterprise SaaS**
- **Fintech**

For precise and current information, refer to BDMI's official website or recent investment updates[2].","Bertelsmann Digital Media Investments (BDMI) focuses on the following categories of companies:

- **Next Gen Media**
- **Web3**
- **Enterprise SaaS**
- **Fintech**[1][3]"
Bioidea Group,Industry/Strategic,"The current companies in the portfolio of Bioidea Group are not explicitly listed in the provided sources. However, Bioidea Group is described as an organization that accelerates the impact of discoveries and inventions by academic innovators and biotech & life sciences companies, fostering a thriving biotech ecosystem in New York City[1]. It does not provide a specific list of companies in its active portfolio. For the most accurate and up-to-date information, you would need to visit their official website or contact them directly[3].",Bioidea Group invests in **early- to late-stage biotech companies** and **academic innovators** in the healthcare and life sciences sector[1][3][4].
